Product_Name,Discount,Total_Loss
Cubify CubeX 3D Printer Double Head Print,0.7,-9239.97
GBC DocuBind P400 Electric Binding System,0.8,-5552.84
GBC Ibimaster 500 Manual ProClick Binding System,0.7,-3957.1
Cubify CubeX 3D Printer Triple Head Print,0.5,-3839.99
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,0.8,-3431.67
Lexmark MX611dhe Monochrome Laser Printer,0.7,-3399.98
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,0.4,-3008.35
Ibico EPK-21 Electric Binding System,0.8,-2929.48
GBC DocuBind TL300 Electric Binding System,0.7,-2682.0
Lexmark MX611dhe Monochrome Laser Printer,0.4,-1869.99
Cisco TelePresence System EX90 Videoconferencing Unit,0.5,-1811.08
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",0.5,-1665.05
Ibico Hi-Tech Manual Binding System,0.8,-1601.2
Balt Solid Wood Round Tables,0.4,-1522.53
Martin Yale Chadless Opener Electric Letter Opener,0.2,-1499.06
GBC DocuBind TL300 Electric Binding System,0.8,-1480.03
3.6 Cubic Foot Counter Height Office Refrigerator,0.8,-1378.82
GBC DocuBind P400 Electric Binding System,0.7,-1306.55
GBC DocuBind 300 Electric Binding Machine,0.7,-1272.87
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",0.4,-1187.56
Hoover Upright Vacuum With Dirt Cup,0.8,-1181.28
GBC ProClick 150 Presentation Binding System,0.8,-1147.01
GBC Ibimaster 500 Manual ProClick Binding System,0.8,-1141.47
HON 5400 Series Task Chairs for Big and Tall,0.3,-1121.57
Bush Advantage Collection Racetrack Conference Table,0.4,-1119.91
Tennsco Single-Tier Lockers,0.2,-1013.42
Cisco 9971 IP Video Phone Charcoal,0.7,-950.4
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",0.5,-944.99
Zebra GK420t Direct Thermal/Thermal Transfer Printer,0.7,-938.28
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,0.7,-935.96
Swingline SM12-08 MicroCut Jam Free Shredder,0.7,-863.98
O'Sullivan 4-Shelf Bookcase in Odessa Pine,0.7,-833.55
Bush Advantage Collection Racetrack Conference Table,0.5,-814.48
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",0.7,-786.74
High Speed Automatic Electric Letter Opener,0.2,-786.01
Hon 94000 Series Round Tables,0.4,-734.53
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,0.2,-730.55
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,0.5,-728.44
"Bevis Oval Conference Table, Walnut",0.4,-720.3
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",0.5,-718.23
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",0.4,-694.23
"Tenex Chairmat w/ Average Lip, 45"" x 53""",0.6,-681.12
Hon Racetrack Conference Tables,0.4,-648.4
Okidata MB491 Multifunction Printer,0.7,-643.71
"SAFCO Commercial Wire Shelving, Black",0.2,-635.44
