Month,Profit
2014-01,2450.19
2014-02,862.31
2014-03,498.73
2014-04,3488.84
2014-05,2738.71
2014-06,4976.52
2014-07,-841.48
2014-08,5318.11
2014-09,8328.1
2014-10,3448.26
2014-11,9292.13
2014-12,8983.57
2015-01,-3281.01
2015-02,2813.85
2015-03,9732.1
2015-04,4187.5
2015-05,4667.87
2015-06,3335.56
2015-07,3288.65
2015-08,5355.81
2015-09,8209.16
2015-10,2817.37
2015-11,12474.79
2015-12,8016.97
2016-01,2824.82
2016-02,5004.58
2016-03,3611.97
2016-04,2977.81
2016-05,8662.15
2016-06,4750.38
2016-07,4432.88
2016-08,2062.07
2016-09,9328.66
2016-10,16243.14
2016-11,4011.41
2016-12,17885.31
2017-01,7140.44
2017-02,1613.87
2017-03,14751.89
2017-04,933.29
2017-05,6342.58
2017-06,8223.34
2017-07,6952.62
2017-08,9040.96
2017-09,10991.56
2017-10,9275.28
2017-11,9690.1
2017-12,8483.35
