Contract,InternetService,PaymentMethod,total_customers,churned_customers,churn_rate
Month-to-month,Fiber optic,Electronic check,1307,789,60.37
Month-to-month,Fiber optic,Mailed check,201,102,50.75
Month-to-month,Fiber optic,Bank transfer (automatic),327,149,45.57
Month-to-month,Fiber optic,Credit card (automatic),293,122,41.64
Month-to-month,DSL,Electronic check,474,192,40.51
Month-to-month,DSL,Mailed check,367,113,30.79
Month-to-month,DSL,Credit card (automatic),185,50,27.03
One year,Fiber optic,Electronic check,196,51,26.02
Month-to-month,No,Mailed check,325,67,20.62
Month-to-month,No,Bank transfer (automatic),65,13,20.0
Month-to-month,DSL,Bank transfer (automatic),197,39,19.8
Month-to-month,No,Electronic check,69,13,18.84
One year,Fiber optic,Credit card (automatic),150,23,15.33
One year,Fiber optic,Bank transfer (automatic),157,23,14.65
One year,DSL,Mailed check,137,14,10.22
One year,DSL,Credit card (automatic),172,17,9.88
Two year,Fiber optic,Electronic check,92,9,9.78
One year,DSL,Electronic check,116,11,9.48
Two year,Fiber optic,Bank transfer (automatic),162,15,9.26
Month-to-month,No,Credit card (automatic),65,6,9.23
One year,DSL,Bank transfer (automatic),145,11,7.59
Two year,DSL,Electronic check,58,4,6.9
One year,No,Bank transfer (automatic),89,4,4.49
Two year,Fiber optic,Credit card (automatic),154,6,3.9
Two year,DSL,Credit card (automatic),237,5,2.11
Two year,DSL,Bank transfer (automatic),224,3,1.34
One year,No,Credit card (automatic),76,1,1.32
One year,No,Mailed check,164,2,1.22
Two year,No,Credit card (automatic),190,2,1.05
Two year,No,Mailed check,252,2,0.79
Two year,No,Bank transfer (automatic),178,1,0.56
Two year,DSL,Mailed check,109,0,0.0
